Busca usando A-estrela
[[1, -1, 2], [4, 5, 3], [7, 8, 6]] generate_from: move_left custo: 2 profundidade: 1
Número de nós da fronteira: 3 [[1, 2, 3], [4, -1, 5], [7, 8, 6]] generate_from: move_left custo: 4 profundidade: 2
Número de nós da fronteira: 5 [[1, 5, 2], [4, -1, 3], [7, 8, 6]] generate_from: move_down custo: 4 profundidade: 2
Número de nós da fronteira: 7 [[1, 2, 3], [4, 8, 5], [7, -1, 6]] generate_from: move_down custo: 8 profundidade: 3
Número de nós da fronteira: 8 [[-1, 1, 2], [4, 5, 3], [7, 8, 6]] generate_from: move_left custo: 5 profundidade: 2
Número de nós da fronteira: 8 [[1, -1, 3], [4, 2, 5], [7, 8, 6]] generate_from: move_up custo: 7 profundidade: 3
Número de nós da fronteira: 9 [[1, 2, 3], [-1, 4, 5], [7, 8, 6]] generate_from: move_left custo: 9 profundidade: 3
Número de nós da fronteira: 10 [[1, 5, 2], [4, 8, 3], [7, -1, 6]] generate_from: move_down custo: 9 profundidade: 3
Número de nós da fronteira: 11 [[1, 5, 2], [4, 3, -1], [7, 8, 6]] generate_from: move_right custo: 10 profundidade: 3
Número de nós da fronteira: 12 [[1, 5, 2], [-1, 4, 3], [7, 8, 6]] generate_from: move_left custo: 11 profundidade: 3
Número de nós da fronteira: 13 [[1, 2, 3], [4, 8, 5], [7, 6, -1]] generate_from: move_right custo: 15 profundidade: 4
Número de nós da fronteira: 13 [[4, 1, 2], [-1, 5, 3], [7, 8, 6]] generate_from: move_down custo: 13 profundidade: 3
Número de nós da fronteira: 14 [[1, 3, -1], [4, 2, 5], [7, 8, 6]] generate_from: move_right custo: 15 profundidade: 4
Número de nós da fronteira: 14 [[1, 2, 3], [4, 8, 5], [-1, 7, 6]] generate_from: move_left custo: 16 profundidade: 4
Número de nós da fronteira: 14 [[-1, 1, 3], [4, 2, 5], [7, 8, 6]] generate_from: move_left custo: 16 profundidade: 4
Número de nós da fronteira: 14 [[1, 2, 3], [7, 4, 5], [-1, 8, 6]] generate_from: move_down custo: 19 profundidade: 4
Número de nós da fronteira: 14 [[1, 5, 2], [4, 8, 3], [7, 6, -1]] generate_from: move_right custo: 19 profundidade: 4
Número de nós da fronteira: 14 [[-1, 2, 3], [1, 4, 5], [7, 8, 6]] generate_from: move_up custo: 18 profundidade: 4
Número de nós da fronteira: 14 [[1, 5, 2], [4, 3, 6], [7, 8, -1]] generate_from: move_down custo: 22 profundidade: 4
Número de nós da fronteira: 14 [[1, 5, 2], [4, 8, 3], [-1, 7, 6]] generate_from: move_left custo: 20 profundidade: 4
Número de nós da fronteira: 14 [[1, 5, -1], [4, 3, 2], [7, 8, 6]] generate_from: move_up custo: 21 profundidade: 4
Número de nós da fronteira: 14 [[1, 5, 2], [7, 4, 3], [-1, 8, 6]] generate_from: move_down custo: 24 profundidade: 4
Número de nós da fronteira: 14 [[-1, 5, 2], [1, 4, 3], [7, 8, 6]] generate_from: move_up custo: 23 profundidade: 4
