Busca Heurística - Busca Gulosa
[[1, 2, 3], [4, -1, 5], [7, 8, 6]] generate_from: move_left custo: 3 profundidade: 2
Número de nós da fronteira: 4 [[1, 2, 3], [4, 8, 5], [7, -1, 6]] generate_from: move_down custo: 5 profundidade: 3
Número de nós da fronteira: 5 [[1, 2, 3], [4, 8, 5], [7, 6, -1]] generate_from: move_right custo: 6 profundidade: 4
Número de nós da fronteira: 5 [[1, 2, 3], [4, 8, -1], [7, 6, 5]] generate_from: move_up custo: 7 profundidade: 5
Número de nós da fronteira: 6 [[1, 2, 3], [4, -1, 8], [7, 6, 5]] generate_from: move_left custo: 9 profundidade: 6
Número de nós da fronteira: 8 [[1, 2, 3], [4, 6, 8], [7, -1, 5]] generate_from: move_down custo: 11 profundidade: 7
Número de nós da fronteira: 9 [[1, 2, 3], [4, 6, 8], [7, 5, -1]] generate_from: move_right custo: 12 profundidade: 8
Número de nós da fronteira: 9 [[1, 2, 3], [4, 6, -1], [7, 5, 8]] generate_from: move_up custo: 13 profundidade: 9
Número de nós da fronteira: 10 [[1, 2, 3], [4, -1, 6], [7, 5, 8]] generate_from: move_left custo: 15 profundidade: 10
Número de nós da fronteira: 12 [[1, 2, 3], [4, 5, 6], [7, -1, 8]] generate_from: move_down custo: 17 profundidade: 11
Número de nós da fronteira: 12 [[1, 2, 3], [4, 5, 6], [-1, 7, 8]] generate_from: move_left custo: 18 profundidade: 12
Número de nós da fronteira: 12 [[1, 2, 3], [-1, 5, 6], [4, 7, 8]] generate_from: move_up custo: 19 profundidade: 13
Número de nós da fronteira: 13 [[1, 2, 3], [5, -1, 6], [4, 7, 8]] generate_from: move_right custo: 21 profundidade: 14
Número de nós da fronteira: 15 [[1, 2, 3], [5, 7, 6], [4, -1, 8]] generate_from: move_down custo: 23 profundidade: 15
Número de nós da fronteira: 16 [[1, 2, 3], [5, 7, 6], [4, 8, -1]] generate_from: move_right custo: 24 profundidade: 16
Número de nós da fronteira: 16 [[1, 2, 3], [5, 7, -1], [4, 8, 6]] generate_from: move_up custo: 25 profundidade: 17
Número de nós da fronteira: 17 [[1, 2, 3], [5, -1, 7], [4, 8, 6]] generate_from: move_left custo: 27 profundidade: 18
Número de nós da fronteira: 19 [[1, 2, 3], [-1, 5, 7], [4, 8, 6]] generate_from: move_left custo: 30 profundidade: 19
Número de nós da fronteira: 20 [[1, 2, 3], [4, 5, 7], [-1, 8, 6]] generate_from: move_down custo: 32 profundidade: 20
Número de nós da fronteira: 20 [[1, 2, 3], [4, 5, 7], [8, -1, 6]] generate_from: move_right custo: 33 profundidade: 21
Número de nós da fronteira: 21 [[1, 2, 3], [4, 5, 7], [8, 6, -1]] generate_from: move_right custo: 35 profundidade: 22
Número de nós da fronteira: 21 [[1, 2, 3], [4, 5, -1], [8, 6, 7]] generate_from: move_up custo: 36 profundidade: 23
Número de nós da fronteira: 22 [[1, 2, -1], [4, 5, 3], [8, 6, 7]] generate_from: move_up custo: 37 profundidade: 24
Número de nós da fronteira: 22 [[1, -1, 2], [4, 5, 3], [8, 6, 7]] generate_from: move_left custo: 38 profundidade: 25
Número de nós da fronteira: 23 [[1, 5, 2], [4, -1, 3], [8, 6, 7]] generate_from: move_down custo: 39 profundidade: 26
Número de nós da fronteira: 25 [[1, 5, 2], [4, 6, 3], [8, -1, 7]] generate_from: move_down custo: 40 profundidade: 27
Número de nós da fronteira: 26 [[1, 5, 2], [4, 6, 3], [8, 7, -1]] generate_from: move_right custo: 41 profundidade: 28
Número de nós da fronteira: 26 [[1, 5, 2], [4, 6, -1], [8, 7, 3]] generate_from: move_up custo: 42 profundidade: 29
Número de nós da fronteira: 27 [[1, 5, 2], [4, -1, 6], [8, 7, 3]] generate_from: move_left custo: 44 profundidade: 30
Número de nós da fronteira: 29 [[1, -1, 2], [4, 5, 6], [8, 7, 3]] generate_from: move_up custo: 45 profundidade: 31
Número de nós da fronteira: 30 [[1, 2, -1], [4, 5, 6], [8, 7, 3]] generate_from: move_right custo: 46 profundidade: 32
Número de nós da fronteira: 30 [[1, 2, 6], [4, 5, -1], [8, 7, 3]] generate_from: move_down custo: 47 profundidade: 33
Número de nós da fronteira: 31 [[1, 2, 6], [4, 5, 3], [8, 7, -1]] generate_from: move_down custo: 48 profundidade: 34
Número de nós da fronteira: 31 [[1, 2, 6], [4, 5, 3], [8, -1, 7]] generate_from: move_left custo: 49 profundidade: 35
Número de nós da fronteira: 32 [[1, 2, 6], [4, 5, 3], [-1, 8, 7]] generate_from: move_left custo: 51 profundidade: 36
Número de nós da fronteira: 32 [[1, 2, 6], [-1, 5, 3], [4, 8, 7]] generate_from: move_up custo: 52 profundidade: 37
Número de nós da fronteira: 33 [[1, 2, 6], [5, -1, 3], [4, 8, 7]] generate_from: move_right custo: 54 profundidade: 38
Número de nós da fronteira: 35 [[1, 2, 6], [5, 3, -1], [4, 8, 7]] generate_from: move_right custo: 57 profundidade: 39
Número de nós da fronteira: 36 [[1, 2, -1], [5, 3, 6], [4, 8, 7]] generate_from: move_up custo: 58 profundidade: 40
Número de nós da fronteira: 36 [[1, -1, 2], [5, 3, 6], [4, 8, 7]] generate_from: move_left custo: 59 profundidade: 41
Número de nós da fronteira: 37 [[1, 3, 2], [5, -1, 6], [4, 8, 7]] generate_from: move_down custo: 60 profundidade: 42
Número de nós da fronteira: 39 [[1, 3, 2], [-1, 5, 6], [4, 8, 7]] generate_from: move_left custo: 63 profundidade: 43
Número de nós da fronteira: 40 [[1, 3, 2], [4, 5, 6], [-1, 8, 7]] generate_from: move_down custo: 65 profundidade: 44
Número de nós da fronteira: 40 [[1, 3, 2], [4, 5, 6], [8, -1, 7]] generate_from: move_right custo: 66 profundidade: 45
Número de nós da fronteira: 41 [[1, 3, 2], [4, 5, 6], [8, 7, -1]] generate_from: move_right custo: 68 profundidade: 46
Número de nós da fronteira: 41 [[1, 3, 2], [4, 5, -1], [8, 7, 6]] generate_from: move_up custo: 69 profundidade: 47
Número de nós da fronteira: 42 [[1, 3, -1], [4, 5, 2], [8, 7, 6]] generate_from: move_up custo: 70 profundidade: 48
Número de nós da fronteira: 42 [[1, -1, 3], [4, 5, 2], [8, 7, 6]] generate_from: move_left custo: 71 profundidade: 49
Número de nós da fronteira: 43 [[1, 5, 3], [4, -1, 2], [8, 7, 6]] generate_from: move_down custo: 72 profundidade: 50
Número de nós da fronteira: 45 [[1, 5, 3], [4, 2, -1], [8, 7, 6]] generate_from: move_right custo: 74 profundidade: 51
Número de nós da fronteira: 46 [[1, 5, 3], [4, 2, 6], [8, 7, -1]] generate_from: move_down custo: 76 profundidade: 52
Número de nós da fronteira: 46 [[1, 5, 3], [4, 2, 6], [8, -1, 7]] generate_from: move_left custo: 77 profundidade: 53
Número de nós da fronteira: 47 [[1, 5, 3], [4, 2, 6], [-1, 8, 7]] generate_from: move_left custo: 79 profundidade: 54
Número de nós da fronteira: 47 [[1, 5, 3], [-1, 2, 6], [4, 8, 7]] generate_from: move_up custo: 80 profundidade: 55
Número de nós da fronteira: 48 [[1, 5, 3], [2, -1, 6], [4, 8, 7]] generate_from: move_right custo: 82 profundidade: 56
Número de nós da fronteira: 50 [[1, -1, 3], [2, 5, 6], [4, 8, 7]] generate_from: move_up custo: 83 profundidade: 57
Número de nós da fronteira: 51 [[1, 3, -1], [2, 5, 6], [4, 8, 7]] generate_from: move_right custo: 84 profundidade: 58
Número de nós da fronteira: 51 [[1, 3, 6], [2, 5, -1], [4, 8, 7]] generate_from: move_down custo: 85 profundidade: 59
Número de nós da fronteira: 52 [[1, 3, 6], [2, 5, 7], [4, 8, -1]] generate_from: move_down custo: 86 profundidade: 60
Número de nós da fronteira: 52 [[1, 3, 6], [2, 5, 7], [4, -1, 8]] generate_from: move_left custo: 87 profundidade: 61
Número de nós da fronteira: 53 [[1, 3, 6], [2, 5, 7], [-1, 4, 8]] generate_from: move_left custo: 89 profundidade: 62
Número de nós da fronteira: 53 [[1, 3, 6], [-1, 5, 7], [2, 4, 8]] generate_from: move_up custo: 90 profundidade: 63
Número de nós da fronteira: 54 [[1, 3, 6], [5, -1, 7], [2, 4, 8]] generate_from: move_right custo: 92 profundidade: 64
Número de nós da fronteira: 56 [[1, 3, 6], [5, 4, 7], [2, -1, 8]] generate_from: move_down custo: 94 profundidade: 65
